description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
"Did you check out last week's monster episode, about all I've learned  15 Years Of AppSumo",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: April Musings 2025, Platform: spotify, Content: Did you check out last week's monster episode, about all I've learned  15 Years Of AppSumo"
I started the company with $50 and a dream of never working a real job again,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: 15 Years Of AppSumo, Platform: spotify, Content: I started the company with $50 and a dream of never working a real job again"
com  I have also been sharing emails on my brutally honest advice on a variety of topics,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: 15 Years Of AppSumo, Platform: spotify, Content: com  I have also been sharing emails on my brutally honest advice on a variety of topics"
"com/lexOUTLINE:(00:00) - Introduction(00:35) - Sponsors, Comments, and Reflections(08:11) - Misconceptions about China(12:42) - Education in China(21:58) - Economic reforms of Deng Xiaoping(27:17) - Mayor economy and GDP growth race(41:05) - Growing up in China(46:43) - First time in the US(50:57) - China's government vs business sector(54:31) - Communism and capitalism(58:09) - Jack Ma(1:04:22) - China's view on innovation and copying ideas(1:11:00) - DeepSeek moment(1:14:53) - CHIPS Act(1:16:40) - Tariffs and Trade(1:29:05) - Immigration(1:33:52) - Taiwan(1:39:39) - One-child policy(1:47:35) - China's economy collapse predictions(1:52:18) - Advice for visiting ChinaPODCAST LINKS:- Podcast Website: https://lexfridman",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Lex Fridman Podcast,,"Episode: #477 – Keyu Jin: China's Economy, Tariffs, Trade, Trump, Communism & Capitalism, Platform: spotify, Content: com/lexOUTLINE:(00:00) - Introduction(00:35) - Sponsors, Comments, and Reflections(08:11) - Misconceptions about China(12:42) - Education in China(21:58) - Economic reforms of Deng Xiaoping(27:17) - Mayor economy and GDP growth race(41:05) - Growing up in China(46:43) - First time in the US(50:57) - China's government vs business sector(54:31) - Communism and capitalism(58:09) - Jack Ma(1:04:22) - China's view on innovation and copying ideas(1:11:00) - DeepSeek moment(1:14:53) - CHIPS Act(1:16:40) - Tariffs and Trade(1:29:05) - Immigration(1:33:52) - Taiwan(1:39:39) - One-child policy(1:47:35) - China's economy collapse predictions(1:52:18) - Advice for visiting ChinaPODCAST LINKS:- Podcast Website: https://lexfridman"
"com/lexOUTLINE:(00:00) - Introduction(00:44) - Sponsors, Comments, and Reflections(10:29) - Origin story of Genghis Khan(52:15) - Early battles & conquests(1:04:55) - Power(1:07:18) - Secret History(1:20:43) - Mongolian steppe(1:24:00) - Mounted archery and horse-riding(1:32:21) - Genghis Khan's army(1:48:33) - Military tactics and strategy(2:00:57) - Wars of conquest(2:05:21) - Dan Carlin(2:15:22) - Religious freedom(2:31:09) - Trade and the Silk Road(2:39:54) - Weapons innovation(2:41:25) - Kublai Khan and conquering China(3:23:15) - Fall of the Mongol Empire(3:50:11) - Genetic legacy(4:00:05) - Lessons from Genghis Khan(4:10:21) - Human nature(4:13:31) - Visiting Mongolia(4:32:59) - Lex: Dan Carlin(4:35:50) - Lex: GazaPODCAST LINKS:- Podcast Website: https://lexfridman",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Lex Fridman Podcast,,"Episode: #476 – Jack Weatherford: Genghis Khan and the Mongol Empire, Platform: spotify, Content: com/lexOUTLINE:(00:00) - Introduction(00:44) - Sponsors, Comments, and Reflections(10:29) - Origin story of Genghis Khan(52:15) - Early battles & conquests(1:04:55) - Power(1:07:18) - Secret History(1:20:43) - Mongolian steppe(1:24:00) - Mounted archery and horse-riding(1:32:21) - Genghis Khan's army(1:48:33) - Military tactics and strategy(2:00:57) - Wars of conquest(2:05:21) - Dan Carlin(2:15:22) - Religious freedom(2:31:09) - Trade and the Silk Road(2:39:54) - Weapons innovation(2:41:25) - Kublai Khan and conquering China(3:23:15) - Fall of the Mongol Empire(3:50:11) - Genetic legacy(4:00:05) - Lessons from Genghis Khan(4:10:21) - Human nature(4:13:31) - Visiting Mongolia(4:32:59) - Lex: Dan Carlin(4:35:50) - Lex: GazaPODCAST LINKS:- Podcast Website: https://lexfridman"
"With 12+ years of experience in trading equities, real estate, and cars, he has developed a wealth of knowledge that he shares with his community of over 1",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 219: Tay Sweat - The Principles Of Making 8 Figures In Stocks & Shares, Platform: spotify, Content: With 12+ years of experience in trading equities, real estate, and cars, he has developed a wealth of knowledge that he shares with his community of over 1"
"He’s a business leader with 20+ years of experience, an international speaker, the voice behind the ""Let's Go Win"" podcast, and the best-selling author of 3 impactful books including Let's Go Win: The Keys To Living Your Best Life",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 218: JM Ryerson - How To Harmonize Your Life For More Success, Platform: spotify, Content: He’s a business leader with 20+ years of experience, an international speaker, the voice behind the ""Let's Go Win"" podcast, and the best-selling author of 3 impactful books including Let's Go Win: The Keys To Living Your Best Life"
"Unique Journey:Her life's purpose became clear when, at the age of 5, she learned the power of words through a teacher who saw beyond her circumstances",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 217: Dr. Darnyelle Jervey Harmon - The Keys to Unlock Your 7 Figure Mindset, Platform: spotify, Content: Unique Journey:Her life's purpose became clear when, at the age of 5, she learned the power of words through a teacher who saw beyond her circumstances"
"Her approach challenges the norm, and her success exemplifies the effectiveness of combining spiritual principles with business growth strategy",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 217: Dr. Darnyelle Jervey Harmon - The Keys to Unlock Your 7 Figure Mindset, Platform: spotify, Content: Her approach challenges the norm, and her success exemplifies the effectiveness of combining spiritual principles with business growth strategy"
His approach is rooted in the philosophy that one's perception of reality is the most significant determinant of their life's quality,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 216: Bruce Da Silva - How Porn Is Rotting Your Brain & Destroying Your Chances Of Success, Platform: spotify, Content: His approach is rooted in the philosophy that one's perception of reality is the most significant determinant of their life's quality"
Bruce’s strategy revolves around the creation of a S,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 216: Bruce Da Silva - How Porn Is Rotting Your Brain & Destroying Your Chances Of Success, Platform: spotify, Content: Bruce’s strategy revolves around the creation of a S"
"(Save YourSelf Time, Energy, and Money), a principle designed to help individuals achieve happiness, health, and financial abundance without the extensive time, money, and energy typically associated with traditional methods like therapy and medication",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 216: Bruce Da Silva - How Porn Is Rotting Your Brain & Destroying Your Chances Of Success, Platform: spotify, Content: (Save YourSelf Time, Energy, and Money), a principle designed to help individuals achieve happiness, health, and financial abundance without the extensive time, money, and energy typically associated with traditional methods like therapy and medication"
"He prides himself on not having all the answers but possessing the wisdom, experience, strategies, and desire to move his clients one step closer to their goals",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 216: Bruce Da Silva - How Porn Is Rotting Your Brain & Destroying Your Chances Of Success, Platform: spotify, Content: He prides himself on not having all the answers but possessing the wisdom, experience, strategies, and desire to move his clients one step closer to their goals"
"His qualifications are further enriched by his experiences living in dozens of countries, engaging with thousands of individuals, and absorbing wisdom from hundreds of books across various subjects",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 216: Bruce Da Silva - How Porn Is Rotting Your Brain & Destroying Your Chances Of Success, Platform: spotify, Content: His qualifications are further enriched by his experiences living in dozens of countries, engaging with thousands of individuals, and absorbing wisdom from hundreds of books across various subjects"
Want Sam's top 7 books for entrepreneurs (& his reading strategy),,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/My First Million,,"Episode: 3 Wild Stories to Get You Hyped This Week, Platform: spotify, Content: Want Sam's top 7 books for entrepreneurs (& his reading strategy)"
The reason I disappeared for the past few months isn’t because I took vacation,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Abel James Show,,"Episode: Dr. Ryan Lazarus: How to Survive a Near-Death Experience, Platform: spotify, Content: The reason I disappeared for the past few months isn’t because I took vacation"
"In this episode, Abel James shares a personal story about his recent near-death experience in a car accident, which left him with a concussion and other injuries",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Abel James Show,,"Episode: Dr. Ryan Lazarus: How to Survive a Near-Death Experience, Platform: spotify, Content: In this episode, Abel James shares a personal story about his recent near-death experience in a car accident, which left him with a concussion and other injuries"
Lazarus shares his journey of overcoming chronic health issues and the importance of a holistic approach to health,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Abel James Show,,"Episode: Dr. Ryan Lazarus: How to Survive a Near-Death Experience, Platform: spotify, Content: Lazarus shares his journey of overcoming chronic health issues and the importance of a holistic approach to health"
"He introduces the concept of the ""Lazarus Method,"" which includes seven essential health elements: nourish, rest, move, learn, connect, challenge, and spark",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Abel James Show,,"Episode: Dr. Ryan Lazarus: How to Survive a Near-Death Experience, Platform: spotify, Content: He introduces the concept of the ""Lazarus Method,"" which includes seven essential health elements: nourish, rest, move, learn, connect, challenge, and spark"
"If mediocrity found a way to creep into your life, James’ story might just kick you back into gear",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Abel James Show,,"Episode: James Swanwick: How to Break Free from Alcohol, Platform: spotify, Content: If mediocrity found a way to creep into your life, James’ story might just kick you back into gear"
"Quick plug: please take a moment to make sure you’re subscribed wherever you listen to podcasts, and consider writing a quick review for the Abel James Show on Apple or Spotify",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Abel James Show,,"Episode: James Swanwick: How to Break Free from Alcohol, Platform: spotify, Content: Quick plug: please take a moment to make sure you’re subscribed wherever you listen to podcasts, and consider writing a quick review for the Abel James Show on Apple or Spotify"
"On today’s episode with Ben, you’ll discover:How environmental toxins like glyphosate sabotage your metabolism Why counting calories is a losing game Why strength training is your secret weapon for longevity And much more…Please take a moment to make sure you’re subscribed to this show wherever you listen to podcasts",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Abel James Show,,"Episode: Ben Azadi: How Toxins Like Glyphosate Sabotage Your Metabolism, Platform: spotify, Content: On today’s episode with Ben, you’ll discover:How environmental toxins like glyphosate sabotage your metabolism Why counting calories is a losing game Why strength training is your secret weapon for longevity And much more…Please take a moment to make sure you’re subscribed to this show wherever you listen to podcasts"
""" We discuss the intersection of creativity and the Tao, where inspiration comes from, and his unique approach to capturing vitality on the page",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Rich Roll Podcast,,"Episode: Addiction, Celebrity, Public Shaming & Truth: The Performance Art of James Frey, Celebrated Writer of Ill-Repute, Platform: spotify, Content: "" We discuss the intersection of creativity and the Tao, where inspiration comes from, and his unique approach to capturing vitality on the page"
"Along the way, James recounts a few things he's never shared publicly",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Rich Roll Podcast,,"Episode: Addiction, Celebrity, Public Shaming & Truth: The Performance Art of James Frey, Celebrated Writer of Ill-Repute, Platform: spotify, Content: Along the way, James recounts a few things he's never shared publicly"
"Plus: Movies are officially back, friends of the pod crushing impossible distances—because regular suffering is passé—and why community beats audience every damn time",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Rich Roll Podcast,,"Episode: ROLL ON: The State of Podcasting In 2025, Platform: spotify, Content: Plus: Movies are officially back, friends of the pod crushing impossible distances—because regular suffering is passé—and why community beats audience every damn time"
Mindy uncovers the fundamental flaws in our approach to female health,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Rich Roll Podcast,,"Episode: Dr. Mindy Pelz On Women's Hormonal Health, Cyclical Fasting, Health As A Verb, Reclaiming Your Body's Intelligence & Transforming Menopause Into Empowerment, Platform: spotify, Content: Mindy uncovers the fundamental flaws in our approach to female health"
"He explains the crucial difference between satisficing and maximizing, advocating for the ""good enough"" approach to enhance happiness and reduce stress",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/QuickPod:Tim Ferriss Podcast Audio Summaries,,"Episode: Derek Sivers on Decision-Making, Personal Optimization, and Life Transitions  | Quickpod: Tim Ferriss Podcast Summaries, Platform: spotify, Content: He explains the crucial difference between satisficing and maximizing, advocating for the ""good enough"" approach to enhance happiness and reduce stress"
"This episode is packed with actionable advice for entrepreneurs, productivity enthusiasts, and anyone looking to improve their decision-making processes",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/QuickPod:Tim Ferriss Podcast Audio Summaries,,"Episode: Derek Sivers on Decision-Making, Personal Optimization, and Life Transitions  | Quickpod: Tim Ferriss Podcast Summaries, Platform: spotify, Content: This episode is packed with actionable advice for entrepreneurs, productivity enthusiasts, and anyone looking to improve their decision-making processes"
Key highlights include: Understanding the scientific method and the importance of good explanations,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/QuickPod:Tim Ferriss Podcast Audio Summaries,,"Episode: David Deutsch and Naval Ravikant — The Fabric of Reality And Much More | Quickpod: Tim Ferriss Podcast Summaries, Platform: spotify, Content: Key highlights include: Understanding the scientific method and the importance of good explanations"
"Attia shares his personal experiences with skinning and rucking to enhance endurance, offering practical advice for integrating these exercises into your routine",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/QuickPod:Tim Ferriss Podcast Audio Summaries,,"Episode: The Science and Art of Longevity — Dr. Peter Attia | Quickpod: Tim Ferriss Podcast Summaries, Platform: spotify, Content: Attia shares his personal experiences with skinning and rucking to enhance endurance, offering practical advice for integrating these exercises into your routine"
"He shares invaluable insights on competitive strategy, the critical importance of network effects, and lessons learned from investing in companies like Uber and OpenTable",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/QuickPod:Tim Ferriss Podcast Audio Summaries,,"Episode: Legendary Investor Bill Gurley on Investing Rules, Insights from Jeff Bezos, Must-Read Books, & More | Quickpod: Tim Ferriss Podcast Summaries, Platform: spotify, Content: He shares invaluable insights on competitive strategy, the critical importance of network effects, and lessons learned from investing in companies like Uber and OpenTable"
"With engaging anecdotes and practical advice, this episode is a must-listen for aspiring entrepreneurs, investors, and anyone keen on understanding the dynamics of the tech world",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/QuickPod:Tim Ferriss Podcast Audio Summaries,,"Episode: Legendary Investor Bill Gurley on Investing Rules, Insights from Jeff Bezos, Must-Read Books, & More | Quickpod: Tim Ferriss Podcast Summaries, Platform: spotify, Content: With engaging anecdotes and practical advice, this episode is a must-listen for aspiring entrepreneurs, investors, and anyone keen on understanding the dynamics of the tech world"
"00:00 Introduction 00:48 Insider Secrets to Business Success: Gurley's Strategic Playbook 02:10 Gurley’s Golden Rules: Investment Insights You Can’t Afford to Miss 03:26 How Network Effects Turbocharge Success: Real Examples from Uber and OpenTable 04:54 Wisdom from the Titans: Lessons from Howard Marks, Stan Druckenmiller, and Jeff Bezos 06:17 Leadership Hacks: High-Performance Culture Secrets from the Best 07:56 The Future of Ecommerce: Predictions and Innovations You Need to Know 09:44 Must-Read Books for Ambitious Minds: Gurley's Top Picks for Success  Follow our podcast on  Spotify: https ://open",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/QuickPod:Tim Ferriss Podcast Audio Summaries,,"Episode: Legendary Investor Bill Gurley on Investing Rules, Insights from Jeff Bezos, Must-Read Books, & More | Quickpod: Tim Ferriss Podcast Summaries, Platform: spotify, Content: 00:00 Introduction 00:48 Insider Secrets to Business Success: Gurley's Strategic Playbook 02:10 Gurley’s Golden Rules: Investment Insights You Can’t Afford to Miss 03:26 How Network Effects Turbocharge Success: Real Examples from Uber and OpenTable 04:54 Wisdom from the Titans: Lessons from Howard Marks, Stan Druckenmiller, and Jeff Bezos 06:17 Leadership Hacks: High-Performance Culture Secrets from the Best 07:56 The Future of Ecommerce: Predictions and Innovations You Need to Know 09:44 Must-Read Books for Ambitious Minds: Gurley's Top Picks for Success  Follow our podcast on  Spotify: https ://open"
